title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
First Class,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",92,95,0.905,0.563,8,-6.135,1,0.0254,9.71E-06,0.113,0.324,106.998,173948
As It Was,Harry Styles,['pop'],94,100,0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303
About Damn Time,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",80,83,0.836,0.743,10,-6.305,0,0.0995,0,0.335,0.722,108.966,191822
Ghost,Justin Bieber,"['canadian pop', 'pop']",97,83,0.604,0.741,2,-5.571,1,0.178,3.49E-05,0.409,0.473,153.947,153190
Bam Bam (feat. Ed Sheeran),Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",89,90,0.756,0.697,8,-6.377,1,0.182,0,0.333,0.956,94.996,206071
MIDDLE OF THE NIGHT,Elley Duhé,"['alt z', 'pop']",81,91,0.41,0.611,4,-8.271,0,0.0228,0,0.116,0.0899,185.727,184448
THATS WHAT I WANT,Lil Nas X,"['lgbtq+ hip hop', 'pop']",89,90,0.737,0.846,1,-4.51,0,0.00614,0,0.0486,0.546,87.981,143901
WAIT FOR U (feat. Drake & Tems),Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",94,82,0.463,0.642,1,-4.474,1,0.314,0,0.0686,0.339,83.389,189893
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",87,85,0.761,0.525,11,-6.9,1,0.44,6.70E-06,0.0921,0.531,80.87,238805
Thousand Miles,The Kid LAROI,['australian hip hop'],89,85,0.376,0.657,7,-4.658,1,0.0858,0,0.0884,0.203,80.565,164782
Woman,Doja Cat,"['dance pop', 'pop']",94,90,0.824,0.764,5,-4.175,0,0.0888,0.00294,0.117,0.881,107.998,172627
PROVENZA,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",91,86,0.87,0.516,1,-8.006,1,0.656,0.00823,0.11,0.53,111.005,210200
Where Are You Now,Lost Frequencies,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",82,90,0.671,0.636,6,-8.117,0,0.515,0.000411,0.172,0.262,120.966,148197
Cold Heart - PNAU Remix,Elton John,"['glam rock', 'mellow gold', 'piano rock']",88,89,0.796,0.798,1,-6.312,1,0.034,4.19E-05,0.0952,0.942,116.032,202735
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],89,89,0.591,0.764,1,-5.484,1,0.0383,0,0.103,0.478,169.928,141806
Light Switch,Charlie Puth,"['dance pop', 'pop', 'viral pop']",86,86,0.69,0.626,6,-5.693,1,0.105,0.000335,0.0881,0.912,184.009,185681
Shivers,Ed Sheeran,"['pop', 'uk pop']",96,10,0.788,0.859,2,-2.724,1,0.281,0,0.0424,0.822,141.02,207853
Boyfriend,Dove Cameron,"['pop', 'post-teen pop']",80,89,0.345,0.612,7,-6.543,0,0.232,0,0.194,0.232,179.773,153000
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,"['modern rock', 'rock']",93,90,0.728,0.783,11,-4.424,0,0.237,0,0.434,0.555,77.011,173381
Honest (feat. Don Toliver),Justin Bieber,"['canadian pop', 'pop']",97,80,0.81,0.655,8,-6.779,0,0.127,8.16E-05,0.105,0.809,150.002,193322
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+ hip hop', 'pop']",89,88,0.736,0.704,3,-7.409,0,0.0203,0,0.0501,0.894,149.995,212000
The Motto,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",88,89,0.754,0.763,7,-4.627,0,0.0301,2.23E-05,0.0901,0.464,117.953,164819
she's all i wanna be,Tate McRae,['pop'],85,86,0.614,0.644,2,-5.372,0,0.0134,7.07E-06,0.117,0.651,160.036,206772
MAMIII,Becky G,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",86,91,0.843,0.7,4,-3.563,0,0.0934,0,0.14,0.899,93.991,226088
In My Head,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap']",87,85,0.684,0.545,1,-6.885,1,0.159,0,0.102,0.407,143.049,135264
When You're Gone,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",90,86,0.603,0.691,5,-5.805,1,0.0248,0,0.583,0.577,147.148,172267
abcdefu,GAYLE,['modern alternative pop'],82,91,0.695,0.54,4,-5.692,1,0.299,0,0.367,0.415,121.932,168602
One Right Now (with The Weeknd),Post Malone,"['dfw rap', 'melodic rap', 'rap']",91,85,0.687,0.781,1,-4.806,1,0.0361,0,0.0755,0.688,97.014,193507
love nwantiti (ah ah ah),CKay,['afro r&b'],81,85,0.727,0.739,8,-3.805,1,0.365,0.00137,0.161,0.533,93.005,145800
Easy On Me,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",90,87,0.604,0.366,5,-7.519,1,0.578,0,0.133,0.13,141.981,224695
In The Stars,Benson Boone,[],74,79,0.362,0.54,10,-6.031,1,0.338,0,0.139,0.3,78.007,216410
Sweetest Pie,Megan Thee Stallion,"['dance pop', 'houston rap', 'pop', 'trap queen']",87,85,0.814,0.628,7,-7.178,1,0.167,0,0.101,0.677,123.977,201334
Bones,Imagine Dragons,"['modern rock', 'rock']",93,86,0.773,0.742,5,-3.678,0,0.0206,0,0.0754,0.571,114.071,165265
Infinity,Jaymes Young,"['modern rock', 'pop']",80,88,0.671,0.673,11,-6.941,0,0.148,5.29E-05,0.304,0.494,121.963,237720
Envolver,Anitta,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",87,90,0.812,0.736,4,-5.421,0,0.152,0.00254,0.0914,0.396,91.993,193806
Big Energy,Latto,"['pop', 'r&b', 'trap queen']",77,61,0.937,0.793,11,-4.431,0,0.0453,0,0.341,0.794,106.022,172540
Bad Habits,Ed Sheeran,"['pop', 'uk pop']",96,35,0.808,0.897,11,-3.712,0,0.0469,3.14E-05,0.364,0.591,126.026,231041
Need to Know,Doja Cat,"['dance pop', 'pop']",94,87,0.664,0.609,1,-6.509,1,0.304,0,0.0926,0.194,130.041,210560
10 Things I Hate About You,Leah Kate,"['alt z', 'pop']",73,67,0.544,0.786,8,-2.97,1,0.00991,0,0.169,0.446,153.967,157138
good 4 u,Olivia Rodrigo,['pop'],91,29,0.556,0.661,6,-5.052,0,0.3,0,0.101,0.668,168.56,178148
Happier Than Ever - Edit,Billie Eilish,"['art pop', 'electropop', 'pop']",93,83,0.334,0.599,0,-5.742,1,0.0468,0.000392,0.205,0.127,161.74,151444
My Universe,Coldplay,"['permanent wave', 'pop']",92,85,0.588,0.701,9,-6.39,1,0.00813,0,0.2,0.443,104.988,228000
Pepas,Farruko,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",90,87,0.762,0.766,7,-3.955,1,0.00776,6.98E-05,0.128,0.442,130.001,287120
IDGAF (with blackbear),BoyWithUke,[],83,83,0.783,0.75,5,-5.762,1,0.426,0,0.241,0.88,97.953,140665
Flowers,Lauren Spencer-Smith,"['alt z', 'gen z singer-songwriter', 'pop']",78,82,0.684,0.449,3,-9.738,1,0.869,0,0.0881,0.341,66.165,157373
Go,Cat Burns,[],73,80,0.663,0.251,6,-9.87,0,0.88,0,0.0932,0.528,90.272,215000
Desesperados,Rauw Alejandro,"['puerto rican pop', 'trap latino']",93,85,0.869,0.694,1,-3.35,0,0.356,0.00125,0.0878,0.511,90.02,224997
Oh My God,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",90,85,0.534,0.725,1,-3.906,1,0.091,0,0.0264,0.55,88.098,225149
